lpreciom2,lsup_constru,ldistancia_playa,long,condicion,dormitorios,banos,garage,ascensores,ammenities,lexpensas
7.854351360351621,3.951243718581427,0.3791150844155689,-56.1594254,used,2,1,No,0,5,0
7.819870639445812,4.564348191467836,-0.3245745604912517,-56.1408382,new,2,2,Si,0,8,8.294299608857235
8.193308070300496,4.0943445622221,-0.5222243863366385,-56.149791,used,2,2,No,0,0,8.294299608857235
8.146596908958896,3.4339872044851463,-0.6212980272052906,-56.1437918,used,3,1,No,2,2,8.294299608857235
8.069168468889277,4.276666119016055,-0.20502851211932271,-56.1492822,used,3,2,Si,1,3,8.24301946898925
8.088197585897879,3.7612001156935624,0.254643766545173,-56.1508741,used,1,1,Si,0,3,7.601402334583733
7.864868005376548,4.564348191467836,0.06679777778096738,-56.1540376,used,2,2,Si,1,10,9.259225769705994
7.95130779046722,4.02535169073515,-1.1239027645730626,-56.1471443,used,1,1,Si,1,6,8.294299608857235
8.191770790981609,4.276666119016055,-0.3492037148486988,-56.1497978,used,2,2,Si,1,8,9.04793908261736
8.040853743721415,3.6375861597263857,-0.7013894689711279,-56.14367,used,3,1,No,0,2,8.294299608857235
8.171447318009696,4.174387269895637,0.2491770637113821,-56.1508642,used,2,2,Si,0,7,8.294299608857235
8.256910093152571,3.871201010907891,-0.5502021350013869,-56.1490421,used,2,1,Si,2,6,8.732465848349879
8.229511118964457,4.787491742782046,0.09910034860001626,-56.1371312,used,3,2,Si,2,13,9.472781556562168
8.160518247477505,4.0943445622221,-1.146800796503325,-56.1463482,used,2,2,No,2,10,8.987321812850125
7.934046906070621,3.7612001156935624,0.3691455904517236,-56.1573987,used,1,1,No,1,1,7.650168700845001
8.246421591112773,4.454347296253507,-0.7324676984054276,-56.150329,used,3,2,Si,0,3,9.04793908261736
8.182594199176705,4.1588830833596715,0.0748565025889254,-56.1429044,used,2,2,No,1,2,8.879193928110318
7.901533506334666,5.351858133476067,0.2472304827816943,-56.1635904,used,3,3,Si,2,12,10.038935856711177
7.716724194371233,4.532599493153256,0.10764012362235148,-56.1633419,used,2,1,No,0,0,8.294299608857235
8.196285471336136,4.624972813284271,-0.2554633059071033,-56.1514206,used,3,3,No,0,0,8.294299608857235
8.088045598664515,3.8501476017100584,-0.7081924218300039,-56.1472642,used,1,1,No,0,4,8.294299608857235
7.912774126464976,4.574710978503383,-0.1953352820572871,NA,used,3,2,No,1,6,8.77971129020447
8.18249715419628,3.80666248977032,-0.7028100395667211,-56.1464048,used,1,1,Si,1,12,8.594339400592892
